A-MYB 	 ENSG00000185697 
ADNP1 	 ENSG00000101126 
ADNP2 	 ENSG00000101544 
AEBP2 	 ENSG00000139154 
AIRE 	 ENSG00000160224 
ALX1 	 ENSG00000180318 
ALX3 	 ENSG00000156150 
ALX4 	 ENSG00000052850 
AP2alpha 	 ENSG00000137203 
AP2beta 	 ENSG00000008196 
AP2delta 	 ENSG00000008197 
AP2epsilon 	 ENSG00000116819 
AP2gamma 	 ENSG00000087510 
AP4 	 ENSG00000090447 
AR 	 ENSG00000169083 
ARGFX 	 ENSG00000186103 
ARID1A 	 ENSG00000117713 
ARID1B 	 ENSG00000049618 
ARID2 	 ENSG00000189079 
ARID3A 	 ENSG00000116017 
ARID3A 	 ENSG00000179361 
ARID3A 	 ENSG00000205143 
ARID4A 	 ENSG00000032219 
ARID4B 	 ENSG00000054267 
ARID5A 	 ENSG00000196843 
ARID5B 	 ENSG00000150347 
ARNT 	 ENSG00000143437 
ARNT2 	 ENSG00000172379 
ARNTL2 	 ENSG00000029153 
ARNTL> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_ARNTL 	 ENSG00000133794 
ARX 	 ENSG00000004848 
ASCL1 	 ENSG00000139352 
ASCL2 	 ENSG00000183734 
ASCL3 	 ENSG00000176009 
ASCL4 	 ENSG00000187855 
ASCL5 	 ENSG00000232237 
ATF1 	 ENSG00000123268 
ATF2 	 ENSG00000115966 
ATF3 	 ENSG00000162772 
ATF4 	 ENSG00000128272 
ATF5 	 ENSG00000169136 
ATF6 	 ENSG00000118217 
ATF6B 	 ENSG00000213676 
ATF7 	 ENSG00000170653 
ATF7 	 ENSG00000267281 
ATOH1 	 ENSG00000172238 
ATOH7 	 ENSG00000179774 
ATOH8 	 ENSG00000168874 
ATRX 	 ENSG00000085224 
AhR 	 ENSG00000106546 
AhRR 	 ENSG00000063438 
B-MYB 	 ENSG00000101057 
BACH1 	 ENSG00000156273 
BACH2 	 ENSG00000112182 
BARHL1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_BARHL1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_BARHL1 	 ENSG00000125492 
BARHL2 	 ENSG00000143032 
BARX1 	 ENSG00000131668 
BARX2 	 ENSG00000043039 
BATF 	 ENSG00000156127 
BATF2 	 ENSG00000168062 
BATF3 	 ENSG00000123685 
BBX 	 ENSG00000114439 
BCL11A 	 ENSG00000119866 
BCL11B 	 ENSG00000127152 
BCL3 	 ENSG00000069399 
BCL6 	 ENSG00000113916 
BCL6B 	 ENSG00000161940 
BHLHA15 	 ENSG00000180535 
BHLHA9 	 ENSG00000205899 
BHLHE22 	 ENSG00000180828 
BHLHE23 	 ENSG00000125533 
BNC1 	 ENSG00000169594 
BNC2 	 ENSG00000173068 
BSX1 	 ENSG00000188909 
Brachyury 	 ENSG00000143178 
Brachyury 	 ENSG00000164458 
CAR 	 ENSG00000143257 
CASZ1 	 ENSG00000130940 
CDC5L 	 ENSG00000096401 
CDX1 	 ENSG00000113722 
CDX2 	 ENSG00000165556 
CDX4 	 ENSG00000131264 
CEBPA 	 ENSG00000245848 
CEBPB 	 ENSG00000172216 
CEBPD 	 ENSG00000221869 
CEBPE 	 ENSG00000092067 
CEBPG 	 ENSG00000153879 
CIC 	 ENSG00000079432 
CLOCK 	 ENSG00000134852 
CNOT4 	 ENSG00000080802 
CP2 	 ENSG00000135457 
CP2L1 	 ENSG00000115112 
CRAMP1L 	 ENSG00000007545 
CREB1 	 ENSG00000118260 
CREB3 	 ENSG00000107175 
CREB3L1 	 ENSG00000157613 
CREB3L2 	 ENSG00000182158 
CREB3L3 	 ENSG00000060566 
CREB3L4 	 ENSG00000143578 
CREB5 	 ENSG00000146592 
CREBL2 	 ENSG00000111269 
CREBZF 	 ENSG00000137504 
CREM 	 ENSG00000095794 
CRX 	 ENSG00000105392 
CSRNP1 	 ENSG00000144655 
CSRNP2 	 ENSG00000110925 
CSRNP3 	 ENSG00000178662 
CTCF 	 ENSG00000102974 
CTCFL 	 ENSG00000124092 
CUX1 	 ENSG00000257923 
CUX2 	 ENSG00000111249 
CXXC1 	 ENSG00000154832 
DBP 	 ENSG00000105516 
DBX1 	 ENSG00000109851 
DBX2 	 ENSG00000185610 
DDIT3 	 ENSG00000175197 
DEAF1 	 ENSG00000177030 
DEC1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_DEC1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_DEC1 	 ENSG00000134107 
DEC2> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_DEC2 	 ENSG00000123095 
DLX1 	 ENSG00000144355 
DLX2 	 ENSG00000115844 
DLX3 	 ENSG00000064195 
DLX4 	 ENSG00000108813 
DLX5 	 ENSG00000105880 
DLX6 	 ENSG00000006377 
DMAP1 	 ENSG00000178028 
DMBX1 	 ENSG00000197587 
DMRT1 	 ENSG00000137090 
DMRT2 	 ENSG00000173253 
DMRT3 	 ENSG00000064218 
DMRTA1 	 ENSG00000176399 
DMRTA2 	 ENSG00000142700 
DMRTB1 	 ENSG00000143006 
DMRTC1b-1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_DMRTC1b-2> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_DMRTC1b-3> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_DMRTC1b-4 	 ENSG00000184911 
DMRTC1b-5 	 ENSG00000159123 
DMRTC2 	 ENSG00000142025 
DMTF1 	 ENSG00000135164 
DNAJC1 	 ENSG00000136770 
DNAJC2 	 ENSG00000105821 
DNMT1 	 ENSG00000130816 
DNMT3A 	 ENSG00000119772 
DNMT3B 	 ENSG00000088305 
DNMT3L 	 ENSG00000142182 
DP1-1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_DP2-1> rdf:type owl:Class ;	<http://sybig.de/tfclass#Homo_sapiens_DP3 	 ENSG00000183434 
DP1-2 	 ENSG00000198176 
DP2-2 	 ENSG00000114126 
DPRX 	 ENSG00000204595 
DRGX 	 ENSG00000165606 
