A-MYB 	 ENSMUSG00000025912 
ADNP1 	 ENSMUSG00000051149 
ADNP2 	 ENSMUSG00000053950 
AEBP2 	 ENSMUSG00000030232 
AIRE 	 ENSMUSG00000000731 
ALX1 	 ENSMUSG00000036602 
ALX3 	 ENSMUSG00000014603 
ALX4 	 ENSMUSG00000040310 
AP2alpha 	 ENSMUSG00000021359 
AP2beta 	 ENSMUSG00000025927 
AP2delta 	 ENSMUSG00000042596 
AP2epsilon 	 ENSMUSG00000042477 
AP2gamma 	 ENSMUSG00000028640 
AP4 	 ENSMUSG00000005718 
AR 	 ENSMUSG00000046532 
ARID1A 	 ENSMUSG00000007880 
ARID1B 	 ENSMUSG00000069729 
ARID2 	 ENSMUSG00000033237 
ARID3A 	 ENSMUSG00000004661 
ARID3A 	 ENSMUSG00000019564 
ARID3A 	 ENSMUSG00000066224 
ARID4A 	 ENSMUSG00000048118 
ARID4B 	 ENSMUSG00000039219 
ARID5A 	 ENSMUSG00000037447 
ARID5B 	 ENSMUSG00000019947 
ARNT 	 ENSMUSG00000015522 
ARNT2 	 ENSMUSG00000015709 
ARNTL 	 ENSMUSG00000055116 
ARNTL2 	 ENSMUSG00000040187 
ARX 	 ENSMUSG00000035277 
ASCL1 	 ENSMUSG00000020052 
ASCL2 	 ENSMUSG00000009248 
ASCL3 	 ENSMUSG00000035951 
ASCL4 	 ENSMUSG00000085111 
ASCL5 	 ENSMUSG00000097918 
ATF1 	 ENSMUSG00000023027 
ATF2 	 ENSMUSG00000027104 
ATF3 	 ENSMUSG00000026628 
ATF4 	 ENSMUSG00000042406 
ATF5 	 ENSMUSG00000038539 
ATF6 	 ENSMUSG00000026663 
ATF6B 	 ENSMUSG00000015461 
ATF7 	 ENSMUSG00000099083 
ATOH1 	 ENSMUSG00000073043 
ATOH7 	 ENSMUSG00000036816 
ATOH8 	 ENSMUSG00000037621 
ATRX 	 ENSMUSG00000031229 
AhR 	 ENSMUSG00000019256 
AhRR 	 ENSMUSG00000021575 
B-MYB 	 ENSMUSG00000017861 
BACH1 	 ENSMUSG00000025612 
BACH2 	 ENSMUSG00000040270 
BARHL2 	 ENSMUSG00000034384 
BARX1 	 ENSMUSG00000021381 
BARX2 	 ENSMUSG00000032033 
BATF 	 ENSMUSG00000034266 
BATF2 	 ENSMUSG00000039699 
BATF3 	 ENSMUSG00000026630 
BBX 	 ENSMUSG00000022641 
BCL11A 	 ENSMUSG00000000861 
BCL11B 	 ENSMUSG00000048251 
BCL3 	 ENSMUSG00000053175 
BCL6 	 ENSMUSG00000022508 
BCL6B 	 ENSMUSG00000000317 
BHLHA15 	 ENSMUSG00000052271 
BHLHA9 	 ENSMUSG00000044243 
BHLHE22 	 ENSMUSG00000025128 
BHLHE23 	 ENSMUSG00000045493 
BMYC 	 ENSMUSG00000049086 
BNC1 	 ENSMUSG00000025105 
BNC2 	 ENSMUSG00000028487 
BSX1 	 ENSMUSG00000054360 
Brachyury 	 ENSMUSG00000026572 
Brachyury 	 ENSMUSG00000062327 
CAR 	 ENSMUSG00000005677 
CASZ1 	 ENSMUSG00000028977 
CDC5L 	 ENSMUSG00000023932 
CDX1 	 ENSMUSG00000024619 
CDX2 	 ENSMUSG00000029646 
CDX4 	 ENSMUSG00000031326 
CEBPA 	 ENSMUSG00000034957 
CEBPB 	 ENSMUSG00000056501 
CEBPE 	 ENSMUSG00000052435 
CEBPG 	 ENSMUSG00000056216 
CIC 	 ENSMUSG00000005442 
CLOCK 	 ENSMUSG00000029238 
CNOT4 	 ENSMUSG00000038784 
CP2 	 ENSMUSG00000009733 
CP2L1 	 ENSMUSG00000026380 
CRAMP1L 	 ENSMUSG00000038002 
CREB1 	 ENSMUSG00000025958 
CREB3 	 ENSMUSG00000028466 
CREB3L1 	 ENSMUSG00000027230 
CREB3L2 	 ENSMUSG00000038648 
CREB3L3 	 ENSMUSG00000035041 
CREB3L4 	 ENSMUSG00000027938 
CREB5 	 ENSMUSG00000053007 
CREBL2 	 ENSMUSG00000032652 
CREBZF 	 ENSMUSG00000051451 
CREM 	 ENSMUSG00000063889 
CRX 	 ENSMUSG00000041578 
CSRNP1 	 ENSMUSG00000032515 
CSRNP2 	 ENSMUSG00000044636 
CSRNP3 	 ENSMUSG00000044647 
CTCF 	 ENSMUSG00000005698 
CTCFL 	 ENSMUSG00000070495 
CUX1 	 ENSMUSG00000029705 
CUX2 	 ENSMUSG00000042589 
CXXC1 	 ENSMUSG00000024560 
DBP 	 ENSMUSG00000059824 
DBX1 	 ENSMUSG00000030507 
DBX2 	 ENSMUSG00000045608 
DDIT3 	 ENSMUSG00000025408 
DEAF1 	 ENSMUSG00000058886 
DEC1 	 ENSMUSG00000030103 
DEC2 	 ENSMUSG00000030256 
DLX1 	 ENSMUSG00000041911 
DLX2 	 ENSMUSG00000023391 
DLX3 	 ENSMUSG00000001510 
DLX4 	 ENSMUSG00000020871 
DLX5 	 ENSMUSG00000029755 
DLX6 	 ENSMUSG00000029754 
DMAP1 	 ENSMUSG00000009640 
DMBX1 	 ENSMUSG00000028707 
DMRT1 	 ENSMUSG00000024837 
DMRT2 	 ENSMUSG00000048138 
DMRT3 	 ENSMUSG00000042372 
DMRTA1 	 ENSMUSG00000043753 
DMRTA2 	 ENSMUSG00000047143 
DMRTB1 	 ENSMUSG00000028610 
DMRTC1 	 ENSMUSG00000031323 
DMRTC1c 	 ENSMUSG00000073027 
DMRTC2 	 ENSMUSG00000011349 
DMTF1 	 ENSMUSG00000042508 
DNAJC1 	 ENSMUSG00000026740 
DNAJC2 	 ENSMUSG00000029014 
DNMT1 	 ENSMUSG00000004099 
DNMT3A 	 ENSMUSG00000020661 
DNMT3B 	 ENSMUSG00000027478 
DNMT3L 	 ENSMUSG00000000730 
DP1 	 ENSMUSG00000038482 
DP2 	 ENSMUSG00000032411 
DRGX 	 ENSMUSG00000041730 
DbpA 	 ENSMUSG00000030189 
E2A 	 ENSMUSG00000020167 
E2F1 	 ENSMUSG00000027490 
E2F2 	 ENSMUSG00000018983 
E2F3 	 ENSMUSG00000016477 
E2F4 	 ENSMUSG00000014859 
E2F5 	 ENSMUSG00000027552 
E2F6 	 ENSMUSG00000057469 
E2F7 	 ENSMUSG00000020185 
E2F8 	 ENSMUSG00000046179 
E4F1 	 ENSMUSG00000024137 
EBF1 	 ENSMUSG00000057098 
EBF2 	 ENSMUSG00000022053 
EBF4 	 ENSMUSG00000053552 
EGR1 	 ENSMUSG00000038418 
EGR2 	 ENSMUSG00000037868 
EGR3 	 ENSMUSG00000033730 
EGR4 	 ENSMUSG00000071341 
EHF 	 ENSMUSG00000012350 
ELF1 	 ENSMUSG00000036461 
ELF2 	 ENSMUSG00000037174 
ELF3 	 ENSMUSG00000003051 
ELF4 	 ENSMUSG00000031103 
ELF5 	 ENSMUSG00000027186 
ELK1 	 ENSMUSG00000009406 
ELK3 	 ENSMUSG00000008398 
ELK4 	 ENSMUSG00000026436 
ELMSAN1 	 ENSMUSG00000042507 
EMX1 	 ENSMUSG00000033726 
EMX2 	 ENSMUSG00000043969 
EN1 	 ENSMUSG00000058665 
EN2 	 ENSMUSG00000039095 
EPAS1 	 ENSMUSG00000024140 
ERF 	 ENSMUSG00000040857 
ERG 	 ENSMUSG00000040732 
ERRbeta 	 ENSMUSG00000021255 
ERalpha 	 ENSMUSG00000019768 
ERbeta 	 ENSMUSG00000021055 
ESX1 	 ENSMUSG00000023443 
ETV1 	 ENSMUSG00000004151 
ETV2 	 ENSMUSG00000006311 
ETV3 	 ENSMUSG00000003382 
ETV4 	 ENSMUSG00000017724 
ETV5 	 ENSMUSG00000013089 
ETV6 	 ENSMUSG00000030199 
EVI1 	 ENSMUSG00000027684 
EVX1 	 ENSMUSG00000005503 
EVX2 	 ENSMUSG00000001815 
Ets-1 	 ENSMUSG00000032035 
Ets-2 	 ENSMUSG00000022895 
FERD3L 	 ENSMUSG00000046518 
FEV 	 ENSMUSG00000055197 
FEZF1 	 ENSMUSG00000029697 
FEZF2 	 ENSMUSG00000021743 
FIGalpha 	 ENSMUSG00000030001 
FIZ1 	 ENSMUSG00000061374 
FLI1 	 ENSMUSG00000016087 
FOG1 	 ENSMUSG00000049577 
FOG2 	 ENSMUSG00000022306 
FOXA1 	 ENSMUSG00000035451 
FOXA2 	 ENSMUSG00000037025 
FOXA3 	 ENSMUSG00000040891 
FOXB1 	 ENSMUSG00000059246 
FOXB2 	 ENSMUSG00000056829 
